gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
416537466	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O1278				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.145Z		
416537465	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus   passerinii		CR	La Margarita	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O1277				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.146Z		
416537464	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus   costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O1279				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.146Z		
416537463	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O1296				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.145Z		
416537462	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	La Margarita	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O1280				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.146Z		
416537460	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	La Margarita	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O1351				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.145Z		
416537459	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Boca de Ganado	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2046				CC_BY_4_0		J. ArÃ©valo			2020-10-07T12:54:12.146Z		
416537458	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Norte	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2048				CC_BY_4_0		AndrÃ©s Vega			2020-10-07T12:54:12.146Z		
416537457	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Boca de Ganado	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2047				CC_BY_4_0		N. Zamora			2020-10-07T12:54:12.146Z		
416537456	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Fila Ganado	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2101				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.146Z		
416537455	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Parrita	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O2076				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.147Z		
416537454	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	JimÃ©nez	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O2111				CC_BY_4_0					2020-10-07T12:54:12.146Z		
416537453	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	RincÃ³n de Osa	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2117				CC_BY_4_0		Daniel HernÃ¡ndez			2020-10-07T12:54:12.146Z		
416537452	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	RincÃ³n de Osa	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O2116				CC_BY_4_0		Daniel HernÃ¡ndez			2020-10-07T12:54:12.146Z		
416537451	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Fila Ganado	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2119				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.146Z		
416537450	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Cerro Las Torres	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O2118				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.146Z		
416537449	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	RincÃ³n	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2128				CC_BY_4_0		Daniel HernÃ¡ndez			2020-10-07T12:54:12.146Z		
416537448	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	RincÃ³n	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O2127				CC_BY_4_0		Daniel HernÃ¡ndez			2020-10-07T12:54:12.147Z		
416537447	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Westfalia	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O2153				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.147Z		
416537446	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Westfalia	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O2151				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.147Z		
416537436	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Quebrada Negra	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O4135				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.147Z		
416537435	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Quebrada Negra	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O4134				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.148Z		
416537433	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	Quebrada Negra	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O4146				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.147Z		
416537431	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O5214				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.147Z		
416537430	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O5051				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.147Z		
416537429	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O5232				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.147Z		
416537428	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O5233				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.148Z		
416537427	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O5253				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.148Z		
416537426	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O5234				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.148Z		
416537425	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	La Margarita	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O5256				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.148Z		
416537424	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	La Margarita	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O5262				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.148Z		
416537423	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	La Margarita	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O5260				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.148Z		
416537417	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Westfalia	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O6013				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.163Z		
416537411	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Hitoy Cerere	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O6928				CC_BY_4_0		Kasuya Naoki			2020-10-07T12:54:12.163Z		
416537410	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Hitoy Cerere	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O7010				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.163Z		
416537408	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Hitoy Cerere	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O7072				CC_BY_4_0		Kasuya Naoki			2020-10-07T12:54:12.164Z		
416537405	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Westfalia	LimÃ³n	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O8077				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.164Z		
416537404	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus costaricensis		SPECIES	Ramphocelus costaricensis Cherrie, 1891	Ramphocelus  costaricensis		CR	La Chanchera, Coto 44	Puntarenas	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488437	2488437	PRESERVED_SPECIMEN	MNCR	CNZ	O8164				CC_BY_4_0		Ghisselle Alvarado			2020-10-07T12:54:12.164Z		
416537403	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Selva Taus	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O8276				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.164Z		
416537402	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Observatorio Arenal, Cerro Chato	Alajuela	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O8456				CC_BY_4_0		Leonardo ChÃ¡vez			2020-10-07T12:54:12.164Z		
416537401	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Observatorio Arenal, Cerro Chato	Alajuela	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O8458				CC_BY_4_0		Leonardo ChÃ¡vez			2020-10-07T12:54:12.164Z		
416537399	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus sanguinolentus		SPECIES	Ramphocelus sanguinolentus (Lesson, 1831)	Ramphocelus   sanguinolentus		CR	Selva	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488420	2488420	PRESERVED_SPECIMEN	MNCR	CNZ	O8705				CC_BY_4_0		MarÃ­a Isabel GÃ³mez			2020-10-07T12:54:12.156Z		
416537398	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Selva	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O8706				CC_BY_4_0		Kasuya Naoki			2020-10-07T12:54:12.156Z		
