gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
416537480	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Selva Taus	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O141				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.144Z		
416537478	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus sanguinolentus		SPECIES	Ramphocelus sanguinolentus (Lesson, 1831)	Ramphocelus   sanguinolentus		CR	TapantÃ­	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488420	2488420	PRESERVED_SPECIMEN	MNCR	CNZ	O142				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.145Z		
416537477	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus sanguinolentus		SPECIES	Ramphocelus sanguinolentus (Lesson, 1831)	Ramphocelus   sanguinolentus		CR	TapantÃ­	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488420	2488420	PRESERVED_SPECIMEN	MNCR	CNZ	O143				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.145Z		
416537476	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus sanguinolentus		SPECIES	Ramphocelus sanguinolentus (Lesson, 1831)	Ramphocelus  sanguinolentus		CR	Purisil	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488420	2488420	PRESERVED_SPECIMEN	MNCR	CNZ	O527				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.145Z		
416537475	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	Finca Cristina	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O220				CC_BY_4_0		Ernesto Carman			2020-10-07T12:54:12.145Z		
416537474	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus passerinii		CR	Selva Taus	Cartago	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O604				CC_BY_4_0		Julio SÃ¡nchez			2020-10-07T12:54:12.146Z		
416537471	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	EstaciÃ³n BiolÃ³gica La Selva	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O1001				CC_BY_4_0					2020-10-07T12:54:12.145Z		
416537470	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	La Tirimbina	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O900				CC_BY_4_0		Daniel HernÃ¡ndez			2020-10-07T12:54:12.144Z		
416537469	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	EstaciÃ³n BiolÃ³gica La Selva	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O1023				CC_BY_4_0					2020-10-07T12:54:12.145Z		
416537467	e0685eeb-5929-4d41-a2da-20712ee7a82c		Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	Ramphocelus passerinii		SPECIES	Ramphocelus passerinii Bonaparte, 1831	Ramphocelus  passerinii		CR	EstaciÃ³n BiolÃ³gica La Selva	Heredia	PRESENT		036cdc50-e7f5-11d9-9a0e-b8a03c50a862													2488433	2488433	PRESERVED_SPECIMEN	MNCR	CNZ	O1061				CC_BY_4_0		Orlando  Vargas			2020-10-07T12:54:12.146Z		
